iter	RMSE
0	1.218881384
1	1.200555214
2	1.184615549
3	1.168045174
4	1.151158933
5	1.135455174
6	1.120602488
7	1.106623794
8	1.091754652
9	1.078752766
10	1.065443457
11	1.051604349
12	1.038595435
13	1.025593386
14	1.014003753
15	1.002340422
16	0.9909310294
17	0.9794733046
18	0.9680623128
19	0.9544845607
20	0.9440631093
21	0.9323600175
22	0.9218465354
23	0.9116351413
24	0.9008674705
25	0.8927069402
26	0.8841829078
27	0.8748511915
28	0.8661950908
29	0.857613149
30	0.8500857485
31	0.8422425238
32	0.8349529128
33	0.829774863
34	0.8223443929
35	0.816059406
36	0.8085013141
37	0.8017182145
38	0.7938718924
39	0.7878668546
40	0.7817678445
41	0.7759883345
42	0.7700943281
43	0.7649665414
44	0.7580352135
45	0.7513141088
46	0.7457078309
47	0.7390631414
48	0.7336850409
49	0.7296954954
50	0.7253076253
51	0.7207527118
52	0.717312283
53	0.7143510958
54	0.7082480903
55	0.7043131223
56	0.7006263888
57	0.6974750424
58	0.6929515393
59	0.6889252642
60	0.6853864725
61	0.6821283058
62	0.6777197635
63	0.6744093067
64	0.6709860561
65	0.6682434707
66	0.6643655838
67	0.6606472897
68	0.6569354253
69	0.6543628008
70	0.6526144891
71	0.6503253327
72	0.6472001247
73	0.643176924
74	0.6401049616
75	0.6381426387
76	0.6354884891
77	0.6335270007
78	0.6316949465
79	0.6292144514
80	0.6266192202
81	0.6251177991
82	0.622098243
83	0.6194559822
84	0.6170412767
85	0.6146987302
86	0.6128497409
87	0.6100233831
88	0.6083996578
89	0.6059069765
90	0.6035968032
91	0.6013993216
92	0.59967151
93	0.5972692999
94	0.5960220495
95	0.5945168509
96	0.5927263655
97	0.5900806103
98	0.5879227697
99	0.5858569314
100	0.5837692852
101	0.5826094205
102	0.5807441398
103	0.5793220698
104	0.5779333507
105	0.5763988585
106	0.5743826045
107	0.5728973508
108	0.5721197651
109	0.5710690961
110	0.5694973678
111	0.5679067502
112	0.5670642963
113	0.5659623786
114	0.5646253179
115	0.5624617808
116	0.5610987897
117	0.5589297757
118	0.5567702254
119	0.5550473023
120	0.553205188
121	0.5516382145
122	0.5508243803
123	0.5496915976
124	0.5487116055
125	0.5470529737
126	0.5459791936
127	0.543961959
128	0.5424460372
129	0.5412284684
130	0.5395970176
131	0.5376492893
132	0.5362750852
133	0.5338649124
134	0.5322343699
135	0.5307690998
136	0.5298959777
137	0.5287751572
138	0.5265327634
139	0.5249218689
140	0.5231724803
141	0.5223256006
142	0.5200878691
143	0.5183770336
144	0.5164042862
145	0.5155413829
146	0.5145542742
147	0.5128618873
148	0.5115472401
149	0.5105148066
150	0.5090816667
151	0.5079869321
152	0.5066547102
153	0.5061032657
154	0.505279704
155	0.5042401043
156	0.5028034437
157	0.5016361458
158	0.5003566182
159	0.4990820091
160	0.4981861232
161	0.4969846273
162	0.495823959
163	0.4952871793
164	0.4944473352
165	0.4928705675
166	0.4914707694
167	0.4904744185
168	0.4892908495
169	0.4880955659
170	0.4867213463
171	0.4857415241
172	0.4842635968
173	0.4829804164
174	0.4817525742
175	0.4806898392
176	0.4801469613
177	0.4790588317
178	0.4778832515
179	0.4769670094
180	0.4758640976
181	0.475148589
182	0.4737988047
183	0.4731764337
184	0.4725324835
185	0.4721548324
186	0.4714761527
187	0.4708096427
188	0.469715942
189	0.4685072657
190	0.4674049569
191	0.4667634238
192	0.4659679833
193	0.4648763085
194	0.4641930095
195	0.4637659609
196	0.463298497
197	0.4620841156
198	0.4608151496
199	0.4598499474
200	0.4586278579
201	0.4579875564
202	0.4570938223
203	0.4563273143
