iter	Passed	Remaining
0	135	135057
1	138	69087
2	141	47179
3	145	36197
4	148	29526
5	151	25126
6	154	21895
7	157	19546
8	160	17693
9	163	16141
10	165	14894
11	168	13851
12	170	12922
13	172	12165
14	175	11499
15	178	10957
16	180	10454
17	182	9940
18	184	9514
19	186	9148
20	188	8784
21	191	8515
22	193	8223
23	195	7937
24	197	7686
25	198	7445
26	200	7229
27	202	7027
28	204	6851
29	206	6677
30	208	6509
31	209	6344
32	211	6189
33	212	6034
34	213	5888
35	214	5755
36	215	5620
37	217	5497
38	218	5379
39	219	5267
40	220	5159
41	221	5055
42	222	4956
43	223	4861
44	224	4770
45	225	4682
46	226	4598
47	227	4519
48	229	4445
49	230	4370
50	230	4298
51	231	4229
52	233	4163
53	234	4107
54	235	4046
55	236	3988
56	237	3931
57	238	3875
58	239	3821
59	240	3770
60	241	3719
61	242	3671
62	243	3625
63	244	3580
64	245	3537
65	246	3495
66	248	3454
67	249	3414
68	250	3377
69	251	3341
70	252	3305
71	253	3270
72	254	3236
73	255	3202
74	256	3168
75	257	3136
76	258	3103
77	259	3073
78	261	3043
79	262	3014
80	263	2986
81	264	2958
82	265	2933
83	266	2907
84	267	2881
85	268	2855
86	269	2832
87	271	2809
88	272	2787
89	273	2764
90	274	2742
91	275	2720
92	276	2697
93	277	2676
94	278	2655
95	279	2636
96	281	2617
97	282	2600
98	283	2582
99	284	2563
100	286	2546
101	287	2530
102	288	2513
103	289	2496
104	290	2479
105	292	2463
106	293	2447
107	294	2432
108	295	2418
109	297	2403
110	298	2389
111	299	2375
112	300	2362
113	302	2348
114	303	2334
115	304	2322
116	305	2308
117	307	2296
118	308	2284
119	309	2271
120	311	2260
121	312	2248
122	313	2236
123	314	2224
124	316	2212
125	317	2199
126	318	2187
127	319	2177
128	320	2166
129	322	2155
130	323	2145
131	324	2137
132	326	2126
133	327	2116
134	328	2105
135	329	2093
136	330	2083
137	331	2073
138	333	2062
139	334	2053
140	335	2044
141	336	2036
142	338	2027
143	339	2017
144	340	2008
145	341	1999
146	343	1990
147	344	1981
148	345	1972
149	346	1963
150	347	1953
151	348	1944
152	349	1935
153	350	1927
154	352	1919
155	353	1911
156	354	1902
157	355	1894
158	356	1885
159	357	1877
160	358	1869
161	359	1860
162	360	1852
163	361	1844
164	362	1836
165	363	1828
166	365	1820
167	366	1813
168	367	1805
169	368	1797
170	369	1789
171	370	1782
172	371	1774
173	372	1767
174	373	1760
175	374	1753
176	375	1745
177	376	1738
178	377	1731
179	378	1724
180	379	1718
181	380	1711
182	381	1704
183	382	1697
184	383	1690
185	384	1684
186	385	1677
187	386	1671
188	388	1664
189	389	1658
190	390	1652
191	391	1646
192	392	1640
193	393	1633
194	394	1627
195	395	1621
196	396	1615
197	397	1609
198	398	1604
199	399	1598
200	400	1592
201	401	1587
202	403	1582
203	404	1576
204	405	1571
205	406	1565
206	407	1559
207	408	1554
208	409	1549
209	410	1544
210	411	1538
211	412	1533
212	413	1528
213	414	1523
214	415	1518
215	417	1513
216	418	1508
217	419	1503
218	420	1498
219	421	1493
220	422	1488
221	423	1484
222	424	1479
223	425	1474
224	426	1469
225	427	1463
226	428	1459
227	429	1454
228	430	1448
229	431	1444
230	432	1440
231	433	1435
232	434	1431
233	435	1427
234	437	1422
235	438	1418
236	439	1414
237	440	1410
238	441	1405
239	442	1401
240	443	1397
241	444	1393
242	446	1389
243	447	1385
244	448	1381
245	449	1377
246	450	1373
247	451	1369
248	452	1365
249	453	1361
250	454	1357
251	455	1353
252	456	1349
253	458	1345
254	459	1341
255	460	1337
256	461	1333
257	462	1329
258	463	1326
259	464	1322
260	465	1318
261	466	1314
262	467	1311
263	469	1307
264	469	1303
265	471	1299
266	472	1295
267	473	1292
268	474	1288
269	475	1284
270	476	1280
271	477	1277
272	478	1273
273	479	1269
274	480	1266
275	481	1262
276	482	1259
277	483	1255
278	484	1252
279	485	1248
280	486	1245
281	487	1241
282	488	1238
283	489	1234
284	490	1230
285	491	1227
286	492	1224
287	493	1220
288	494	1217
289	496	1214
290	497	1211
291	498	1208
292	499	1204
293	500	1201
294	501	1198
295	502	1194
296	503	1191
297	504	1188
298	505	1184
299	506	1181
300	507	1178
301	508	1175
302	509	1172
303	510	1168
304	511	1165
305	512	1162
306	513	1159
307	514	1156
308	515	1153
309	516	1150
310	517	1146
311	518	1143
312	519	1140
313	520	1137
314	521	1134
315	522	1131
316	523	1128
317	524	1125
318	525	1122
319	527	1119
320	528	1117
321	529	1113
322	530	1111
323	531	1108
324	532	1105
325	533	1102
326	534	1099
327	535	1096
328	536	1093
329	537	1091
330	538	1088
331	539	1085
332	540	1083
333	541	1080
334	543	1078
335	544	1075
336	545	1072
337	546	1069
338	547	1067
339	548	1064
340	549	1061
341	550	1058
342	551	1056
343	552	1053
344	553	1050
345	554	1048
346	555	1045
347	556	1042
348	557	1039
349	558	1037
350	559	1034
351	560	1031
352	561	1029
353	562	1026
354	563	1023
355	564	1021
356	565	1018
357	566	1015
358	567	1013
359	568	1010
360	569	1007
361	570	1005
362	571	1002
363	572	1000
364	573	997
365	574	995
366	575	992
367	576	990
368	577	987
369	578	985
370	579	982
371	580	980
372	581	977
373	582	975
374	583	972
375	584	970
376	585	968
377	586	965
378	588	963
379	589	961
380	590	958
381	591	956
382	592	953
383	593	951
384	594	949
385	595	946
386	596	944
387	597	942
388	598	939
389	599	937
390	600	935
391	601	932
392	602	930
393	603	928
394	604	925
395	605	923
396	606	921
397	607	919
398	608	916
399	609	914
400	610	912
401	611	910
402	612	907
403	613	905
404	614	903
405	615	901
406	617	899
407	618	896
408	619	894
409	620	892
410	621	890
411	622	888
412	622	885
413	623	882
414	624	880
415	625	878
416	626	876
417	627	874
418	629	872
419	630	870
420	631	868
421	632	865
422	633	864
423	634	862
424	635	859
425	636	857
426	637	855
427	638	853
428	639	851
429	640	849
430	641	847
431	642	845
432	643	843
433	645	841
434	646	839
435	647	836
436	648	834
437	649	833
438	650	831
439	651	828
440	652	826
441	653	824
442	654	822
443	655	820
444	656	818
445	657	816
446	658	814
447	659	812
448	660	810
449	661	808
450	662	806
451	663	804
452	665	803
453	666	801
454	667	799
455	668	797
456	669	795
457	670	793
458	671	790
459	672	789
460	673	787
461	674	785
462	675	783
463	676	781
464	677	779
465	678	777
466	679	775
467	680	773
468	681	771
469	682	770
470	683	768
471	684	766
472	686	764
473	687	762
474	688	760
475	689	758
476	690	756
477	691	754
478	692	752
479	693	751
480	694	749
481	695	747
482	696	745
483	697	743
484	698	741
485	699	740
486	700	738
487	701	736
488	702	734
489	703	732
490	705	730
491	706	729
492	707	727
493	708	725
494	709	723
495	710	721
496	711	720
497	712	718
498	713	716
499	714	714
500	715	712
501	716	710
502	717	709
503	718	707
504	719	705
505	720	703
506	721	701
507	722	700
508	723	698
509	724	696
510	725	694
511	727	693
512	728	691
513	729	689
514	730	687
515	731	686
516	732	684
517	733	682
518	734	681
519	735	679
520	737	677
521	738	676
522	739	674
523	740	672
524	741	670
525	742	669
526	743	667
527	744	665
528	745	663
529	746	662
530	747	660
531	748	658
532	749	656
533	750	655
534	752	654
535	753	652
536	754	650
537	755	649
538	756	647
539	757	645
540	758	643
541	759	642
542	760	640
543	761	638
544	762	636
545	763	635
546	764	633
547	766	632
548	767	630
549	768	628
550	769	627
551	770	625
552	771	623
553	772	621
554	773	620
555	774	618
556	775	616
557	776	615
558	777	613
559	778	611
560	779	610
561	780	608
562	781	606
563	782	605
564	783	603
565	784	601
566	785	600
567	786	598
568	787	596
569	788	595
570	789	593
571	790	591
572	791	590
573	793	588
574	794	586
575	795	585
576	796	583
577	797	582
578	798	580
579	799	578
580	800	577
581	801	575
582	802	574
583	803	572
584	804	570
585	805	569
586	806	567
587	807	566
588	808	564
589	809	562
590	811	561
591	812	559
592	813	558
593	814	556
594	815	554
595	816	553
596	817	551
597	818	550
598	819	548
599	820	547
600	821	545
601	822	543
602	823	542
603	824	540
604	825	539
605	826	537
606	827	536
607	828	534
608	829	532
609	830	531
610	831	529
611	832	528
612	833	526
613	835	525
614	836	523
615	837	521
616	838	520
617	839	518
618	840	517
619	841	515
620	842	514
621	843	512
622	844	511
623	845	509
624	846	508
625	847	506
626	848	504
627	849	503
628	851	501
629	852	500
630	853	498
631	854	497
632	855	496
633	856	494
634	857	493
635	858	491
636	859	489
637	860	488
638	862	487
639	863	485
640	864	484
641	865	482
642	866	481
643	867	479
644	869	478
645	870	476
646	871	475
647	872	473
648	873	472
649	874	471
650	875	469
651	876	468
652	877	466
653	879	465
654	880	463
655	881	462
656	882	460
657	883	459
658	884	457
659	885	456
660	886	454
661	887	453
662	888	451
663	889	450
664	890	448
665	891	447
666	892	445
667	893	444
668	894	442
669	895	441
670	896	439
671	898	438
672	899	437
673	900	435
674	901	434
675	902	432
676	903	431
677	905	429
678	906	428
679	906	426
680	908	425
681	909	423
682	910	422
683	911	420
684	912	419
685	913	418
686	914	416
687	915	415
688	917	413
689	918	412
690	919	411
691	920	409
692	921	408
693	922	406
694	923	405
695	924	403
696	925	402
697	926	400
698	927	399
699	929	398
700	930	396
701	931	395
702	932	393
703	933	392
704	934	391
705	935	389
706	936	388
707	937	386
708	938	385
709	939	383
710	940	382
711	941	381
712	943	379
713	944	378
714	945	376
715	946	375
716	947	373
717	948	372
718	949	371
719	950	369
720	951	368
721	952	366
722	953	365
723	954	363
724	955	362
725	956	360
726	957	359
727	958	358
728	959	356
729	960	355
730	961	353
731	962	352
732	963	351
733	964	349
734	965	348
735	966	346
736	967	345
737	968	343
738	969	342
739	970	341
740	972	339
741	972	338
742	974	336
743	975	335
744	977	334
745	978	333
746	980	332
747	982	330
748	984	329
749	985	328
750	987	327
751	988	326
752	990	324
753	991	323
754	992	322
755	993	320
756	995	319
757	996	318
758	997	316
759	998	315
760	999	313
761	1000	312
762	1001	311
763	1002	309
764	1003	308
765	1005	307
766	1006	305
767	1007	304
768	1008	302
769	1009	301
770	1010	300
771	1011	298
772	1012	297
773	1013	295
774	1014	294
775	1015	293
776	1016	291
777	1017	290
778	1018	288
779	1019	287
780	1020	286
781	1021	284
782	1022	283
783	1023	282
784	1025	280
785	1026	279
786	1027	278
787	1028	276
788	1029	275
789	1030	273
790	1031	272
791	1032	271
792	1033	269
793	1034	268
794	1035	267
795	1036	265
796	1037	264
797	1038	262
798	1039	261
799	1040	260
800	1041	258
801	1043	257
802	1044	256
803	1045	254
804	1046	253
805	1047	252
806	1048	250
807	1049	249
808	1050	247
809	1051	246
810	1052	245
811	1053	243
812	1054	242
813	1055	241
814	1056	239
815	1057	238
816	1059	237
817	1060	236
818	1062	234
819	1063	233
820	1064	232
821	1065	230
822	1066	229
823	1067	228
824	1068	226
825	1069	225
826	1070	223
827	1071	222
828	1072	221
829	1073	219
830	1075	218
831	1076	217
832	1077	215
833	1078	214
834	1079	213
835	1080	211
836	1081	210
837	1082	209
838	1083	207
839	1084	206
840	1085	205
841	1086	203
842	1087	202
843	1088	201
844	1089	199
845	1090	198
846	1091	197
847	1092	195
848	1093	194
849	1094	193
850	1095	191
851	1096	190
852	1097	189
853	1099	187
854	1099	186
855	1100	185
856	1102	183
857	1103	182
858	1104	181
859	1105	179
860	1106	178
861	1107	177
862	1108	176
863	1110	174
864	1111	173
865	1112	172
866	1113	170
867	1114	169
868	1115	168
869	1116	166
870	1117	165
871	1118	164
872	1120	162
873	1121	161
874	1122	160
875	1123	159
876	1124	157
877	1125	156
878	1126	155
879	1127	153
880	1128	152
881	1129	151
882	1130	149
883	1131	148
884	1132	147
885	1133	145
886	1134	144
887	1136	143
888	1137	142
889	1138	140
890	1140	139
891	1141	138
892	1142	136
893	1143	135
894	1144	134
895	1146	133
896	1147	131
897	1148	130
898	1149	129
899	1150	127
900	1152	126
901	1153	125
902	1154	123
903	1155	122
904	1156	121
905	1157	120
906	1158	118
907	1159	117
908	1160	116
909	1161	114
910	1162	113
911	1163	112
912	1164	110
913	1165	109
914	1166	108
915	1167	107
916	1168	105
917	1169	104
918	1170	103
919	1171	101
920	1172	100
921	1173	99
922	1174	97
923	1175	96
924	1176	95
925	1177	94
926	1178	92
927	1179	91
928	1181	90
929	1182	88
930	1183	87
931	1184	86
932	1185	85
933	1186	83
934	1187	82
935	1188	81
936	1189	79
937	1190	78
938	1191	77
939	1192	76
940	1193	74
941	1194	73
942	1195	72
943	1196	71
944	1198	69
945	1199	68
946	1200	67
947	1201	65
948	1202	64
949	1203	63
950	1204	62
951	1205	60
952	1206	59
953	1207	58
954	1208	56
955	1209	55
956	1211	54
957	1212	53
958	1213	51
959	1214	50
960	1215	49
961	1216	48
962	1217	46
963	1218	45
964	1219	44
965	1220	42
966	1221	41
967	1222	40
968	1223	39
969	1224	37
970	1225	36
971	1226	35
972	1227	34
973	1231	32
974	1232	31
975	1233	30
976	1234	29
977	1235	27
978	1236	26
979	1237	25
980	1238	23
981	1239	22
982	1240	21
983	1241	20
